address_id,name,lat,lon,building_matched,structure_hint,hint_confidence,hint_signals,class_source,footprint_area_m2,elongation_ratio,perimeter_complexity,floor_count_est,footprint_source,footprint_match_distance_m
addr_001,NDBS023,46.81013748669929,-100.8081205800672,False,UNRESOLVED,0.0,['no_match'],NONE,,,,,,
addr_002,904,46.81490999908505,-100.8032830004469,True,MDU,0.75,['area_or_shape'],RULE,330.62,1.821,1.0,1.0,ms,0.0
addr_003,930,46.81542599902756,-100.8046109996944,True,MDU,0.75,['area_or_shape'],RULE,468.86,1.244,1.052,1.0,ms,0.0
addr_004,1001,46.81562399900635,-100.8039989999492,True,MDU,0.75,['area_or_shape'],RULE,369.63,1.589,1.0,1.0,ms,0.0
addr_005,1020,46.81635699881713,-100.8048169995587,True,MDU,0.75,['area_or_shape'],RULE,450.53,1.453,1.04,1.0,ms,0.0
addr_006,910,46.81423999908198,-100.8041410002394,True,MDU,0.75,['area_or_shape'],RULE,1020.58,1.646,1.048,1.0,ms,0.0
addr_007,925,46.81513599926417,-100.803932000002,True,MDU,0.75,['area_or_shape'],RULE,583.72,1.045,1.102,1.0,ms,0.0
addr_008,928,46.81523899892463,-100.8046190000903,True,MDU,0.75,['area_or_shape'],RULE,459.9,1.585,1.0,1.0,ms,0.0
addr_009,1110,46.81716899913691,-100.8050609999562,True,MDU,0.75,['area_or_shape'],RULE,535.27,1.118,1.046,1.0,ms,0.0
addr_010,1004,46.81547899893187,-100.8065170001484,True,MDU,0.75,['area_or_shape'],RULE,375.6,1.228,1.0,1.0,ms,0.0
addr_011,906,46.81415499880606,-100.8059210002968,True,MDU,0.75,['area_or_shape'],RULE,484.12,1.118,1.059,1.0,ms,0.0
addr_012,1021,46.8158489990474,-100.8075029999874,True,MDU,0.75,['area_or_shape'],RULE,589.9,1.317,1.037,1.0,ms,0.0
addr_013,1009,46.81597099885634,-100.8065489999355,True,MDU,0.75,['area_or_shape'],RULE,402.82,1.942,1.036,1.0,ms,0.16
addr_014,1020,46.81753499919969,-100.8063199996066,True,MDU,0.75,['area_or_shape'],RULE,431.34,1.482,1.041,1.0,ms,0.0
addr_015,1216,46.81837499924575,-100.8085559997736,True,MDU,0.75,['area_or_shape'],RULE,364.75,1.248,1.0,1.0,ms,0.0
addr_016,1121,46.81409099921845,-100.8111939996235,True,MDU,0.75,['area_or_shape'],RULE,750.72,1.113,1.092,1.0,ms,0.0
addr_017,1240,46.81890299914444,-100.8115839996108,True,MDU,0.75,['area_or_shape'],RULE,523.98,1.725,1.0,1.0,ms,0.0
addr_018,1024,46.81580699876694,-100.8104630000526,True,MDU,0.75,['area_or_shape'],RULE,464.79,1.535,1.06,1.0,ms,0.0
addr_019,1222,46.81660499910096,-100.8130649999175,True,MDU,0.75,['area_or_shape'],RULE,649.86,2.14,1.0,1.0,ms,0.0
addr_020,1106,46.81701699882883,-100.8108289997505,True,MDU,0.75,['area_or_shape'],RULE,416.06,1.514,1.0,1.0,ms,0.0
addr_021,930,46.81515499922234,-100.8067399997312,True,MDU,0.75,['area_or_shape'],RULE,525.13,1.037,1.047,1.0,ms,0.0
addr_022,921,46.81463199934642,-100.8064040001705,True,MDU,0.75,['area_or_shape'],RULE,480.16,1.053,1.133,1.0,ms,0.0
addr_023,833,46.81372799921341,-100.8052810000642,True,MDU,0.75,['area_or_shape'],RULE,340.2,1.084,1.051,1.0,ms,0.0
addr_024,922,46.81496799879181,-100.805907999878,True,MDU,0.75,['area_or_shape'],RULE,505.12,2.031,1.0,1.0,ms,0.0
addr_025,1136,46.81758099884661,-100.8082350002815,True,MDU,0.75,['area_or_shape'],RULE,532.58,2.042,1.0,1.0,ms,31.89
addr_026,1048,46.81676499905386,-100.8068920000672,True,MDU,0.75,['area_or_shape'],RULE,638.54,1.388,1.06,1.0,ms,0.0
addr_027,1202,46.81846199932386,-100.8058700002431,True,MDU,0.75,['area_or_shape'],RULE,652.03,2.274,1.0,1.0,ms,0.0
addr_028,1212,46.81810299876469,-100.8097070003674,True,MDU,0.75,['area_or_shape'],RULE,406.57,1.971,1.0,1.0,ms,0.0
addr_029,1137,46.81988099925238,-100.8074949995915,True,MDU,0.75,['area_or_shape'],RULE,747.31,2.385,1.0,1.0,ms,0.0
addr_030,915,46.81449999905579,-100.8052450000792,True,MDU,0.75,['area_or_shape'],RULE,332.09,1.562,1.0,1.0,ms,0.0
addr_031,1244,46.81900399927595,-100.8118439999018,True,MDU,0.75,['area_or_shape'],RULE,523.09,1.031,1.101,1.0,ms,0.0
addr_032,1002,46.81562799925302,-100.8046109996944,True,MDU,0.75,['area_or_shape'],RULE,600.85,1.127,1.037,1.0,ms,0.0
addr_033,1235,46.81941999902877,-100.8105929997489,True,MDU,0.75,['area_or_shape'],RULE,897.54,1.05,1.064,1.0,ms,24.67
addr_034,1224,46.81852299875769,-100.8098370000637,True,MDU,0.75,['area_or_shape'],RULE,496.22,1.304,1.092,1.0,ms,0.0
addr_035,1240,46.81914699876638,-100.8097640002688,True,MDU,0.75,['area_or_shape'],RULE,458.01,1.337,1.099,1.0,ms,0.0
addr_036,1130,46.81794699917877,-100.8056259998457,True,MDU,0.75,['area_or_shape'],RULE,786.29,1.726,1.085,1.0,ms,0.01
addr_037,1018,46.816726999039,-100.8055949998835,True,MDU,0.75,['area_or_shape'],RULE,501.12,1.275,1.052,1.0,ms,0.0
addr_038,1212,46.81559799893271,-100.812828000091,True,MDU,0.75,['area_or_shape'],RULE,477.23,1.684,1.0,1.0,ms,0.0
addr_039,1007,46.81709299903653,-100.8054119995854,True,MDU,0.75,['area_or_shape'],RULE,878.09,1.087,1.041,1.0,ms,0.0
