Longitude,Latitude,Address,City,Postal Code,Zip Code,State,Address Type,House Number,Street Address,Street Direction,Street Suffix,Unit Number
-100.803283,46.81491,904 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,904,ARTHUR,,DR,
-100.804611,46.815426,930 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,930,ARTHUR,,DR,
-100.803999,46.815624,1001 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1001,ARTHUR,,DR,
-100.804817,46.816357,1020 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,1020,ARTHUR,,DR,
-100.804141,46.81424,910 WARD RD,BISMARCK,,58501,North Dakota,Residential,910,WARD,,RD,
-100.803932,46.815136,925 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,925,ARTHUR,,DR,
-100.804619,46.815239,928 ARTHUR DR,BISMARCK,,58501,North Dakota,Residential,928,ARTHUR,,DR,
-100.805061,46.817169,1110 WARD RD,BISMARCK,,58501,North Dakota,Residential,1110,WARD,,RD,
-100.806517,46.815479,1004 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1004,CRESCENT,,LN,
-100.805921,46.814155,906 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,906,CRESCENT,,LN,
-100.807503,46.815849,1021 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1021,CRESCENT,,LN,
-100.806549,46.815971,1009 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,1009,CRESCENT,,LN,
-100.80632,46.817535,1020 HIGHLAND PL,BISMARCK,,58501,North Dakota,Residential,1020,HIGHLAND,,PL,
-100.808556,46.818375,1216 E COULEE RD,BISMARCK,,58501,North Dakota,Residential,1216,COULEE,E,RD,
-100.811194,46.814091,1121 FAIRVIEW PL,BISMARCK,,58501,North Dakota,Residential,1121,FAIRVIEW,,PL,
-100.811584,46.818903,1240 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1240,HIGHLAND ACRES,E,RD,
-100.810463,46.815807,1024 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1024,HIGHLAND ACRES,E,RD,
-100.813065,46.816605,1222 PRAIRIE DR,BISMARCK,,58501,North Dakota,Residential,1222,PRAIRIE,,DR,
-100.810829,46.817017,1106 E HIGHLAND ACRES RD,BISMARCK,,58501,North Dakota,Residential,1106,HIGHLAND ACRES,E,RD,
-100.80674,46.815155,930 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,930,PARKVIEW,,DR,
-100.806404,46.814632,921 PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,921,PARKVIEW,,DR,
-100.805281,46.813728,833 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,833,CRESCENT,,LN,
-100.805908,46.814968,922 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,922,CRESCENT,,LN,
-100.808235,46.817581,1136 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1136,PARKVIEW,N,DR,
-100.806892,46.816765,1048 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1048,PARKVIEW,N,DR,
-100.80587,46.818462,1202 WARD RD,BISMARCK,,58501,North Dakota,Residential,1202,WARD,,RD,
-100.809707,46.818103,1212 N PARKVIEW DR,BISMARCK,,58501,North Dakota,Residential,1212,PARKVIEW,N,DR,
-100.807495,46.819881,1137 EDWARDS AVE,BISMARCK,,58501,North Dakota,Residential,1137,EDWARDS,,AVE,
-100.805245,46.8145,915 CRESCENT LN,BISMARCK,,58501,North Dakota,Residential,915,CRESCENT,,LN,
